#         T:            mu:         sigma:             H:           err:
   0.0605449       0.860011       0.677098       -0.40262     0.00534097
   0.0599395       0.687196       0.654338      -0.403967     0.00275302
   0.0593401       0.674626       0.724183      -0.368727     0.00408068
   0.0587467       0.680752       0.654971      -0.392931     0.00218905
   0.0581592       0.829522        0.63169      -0.435007     0.00302205
   0.0575776       0.552331       0.651678       -0.26764     0.00377443
   0.0570018       0.625711       0.706942      -0.349746     0.00306615
   0.0564318       0.647772       0.709873      -0.367814     0.00312443
   0.0558675       0.713987       0.699875      -0.396983     0.00342342
   0.0553088       0.638571        0.86055      -0.288872     0.00826276
   0.0547557       0.802035        0.70536      -0.399963     0.00563325
   0.0542082       0.825776       0.762409      -0.320895     0.00863862
   0.0536661       0.840176       0.657082      -0.433145     0.00393568
   0.0531294       0.828721       0.632873       -0.44514     0.00296602
   0.0525981       0.704005       0.682909      -0.399576     0.00308131
   0.0520722       0.851883       0.662664      -0.412014     0.00511187
   0.0515514       0.881504       0.584324      -0.412285     0.00320842
   0.0510359       0.650525       0.799619      -0.319088     0.00591087
   0.0505256        0.64652       0.741605      -0.343291     0.00471321
   0.0500203       0.780814       0.642162      -0.435081     0.00231584
   0.0495201       0.475622       0.768771      -0.252261     0.00538753
   0.0490249       0.685091       0.680701       -0.39025     0.00303256
   0.0485347       0.555235       0.747404      -0.296419     0.00373105
   0.0480493       0.711231       0.690174      -0.392692       0.004424
   0.0475688       0.833957       0.532645      -0.365258     0.00395226
   0.0470931        0.76185       0.736922      -0.381942     0.00544564
   0.0466222       0.797731       0.640167      -0.438786     0.00337056
    0.046156       0.813098       0.677409      -0.415472     0.00410404
   0.0456944       0.786236       0.602916      -0.444225     0.00213345
   0.0452375       0.713033       0.610974      -0.414108     0.00230095
   0.0447851        0.83766        0.65906      -0.431278     0.00347158
   0.0443372       0.704004       0.539066      -0.364579     0.00399937
   0.0438939       0.768233        0.63676      -0.437127     0.00286766
   0.0434549       0.790022       0.650408      -0.431318     0.00320741
   0.0430204       0.722866        0.69142      -0.403442     0.00480495
   0.0425902       0.813316        0.60349      -0.442677     0.00258332
   0.0421643       0.741458       0.634814      -0.426961      0.0024474
   0.0417426       0.685698        0.74529      -0.353369     0.00556909
   0.0413252       0.583082       0.742972      -0.313022     0.00429098
    0.040912       0.588199       0.753596      -0.318258     0.00429597
   0.0405028       0.559074       0.767505      -0.303503     0.00458622
   0.0400978        0.43714       0.862352      -0.265079     0.00616156
   0.0396968       0.424317       0.861074      -0.260063     0.00582732
   0.0392999        0.25719       0.940757      -0.250057     0.00710061
   0.0389069       0.175426       0.885454      -0.209036     0.00494179
   0.0385178      0.0312473       0.936714      -0.247324      0.0054249
   0.0381326       0.148333       0.955732      -0.248362     0.00570829
   0.0377513       0.151334       0.892679      -0.209229     0.00500602
   0.0373738        0.23266       0.848429      -0.198945     0.00396654
       0.037       0.267394       0.932957      -0.254885     0.00544475
     0.03663       0.233133       0.927361      -0.247231     0.00569974
   0.0362637       0.415144       0.974547      -0.233224     0.00972604
   0.0359011       0.513761       0.951092      -0.248794      0.0119569
   0.0355421       0.455095       0.866269      -0.265513     0.00602228
   0.0351867       0.443796       0.942139      -0.255269     0.00926471
   0.0348348       0.588344        0.86008      -0.278241     0.00766508
   0.0344865       0.521244       0.852128      -0.269804     0.00808038
   0.0341416       0.678484        0.87434      -0.264405      0.0112032
   0.0338002       0.607356       0.931297      -0.231467      0.0109802
   0.0334622       0.474428       0.860595      -0.280003     0.00517046
   0.0331276       0.594726       0.790256      -0.312356     0.00574818
   0.0327963       0.598645       0.823483      -0.305031     0.00614431
   0.0324683        0.71064       0.722717      -0.379414     0.00467812
   0.0321436       0.773055       0.689691      -0.402312     0.00592648
   0.0318222       0.762694        0.63886      -0.435787     0.00265971
    0.031504       0.749286       0.623001      -0.427391     0.00402685
   0.0311889        0.84525        0.65019      -0.423408     0.00399431
    0.030877        0.81611       0.670626      -0.430102      0.0037873
   0.0305683       0.670095       0.573798      -0.370685     0.00290474
   0.0302626       0.707294       0.637722      -0.413413     0.00215114
     0.02996       0.767601       0.702289      -0.404143     0.00457443
   0.0296604       0.726973       0.612773      -0.426001     0.00208304
   0.0293638       0.785298       0.585681      -0.441575     0.00253328
   0.0290701       0.759037       0.634655       -0.43321     0.00258682
   0.0287794       0.792907       0.571462      -0.426851     0.00267322
   0.0284916       0.777405       0.575466       -0.43159     0.00266612
   0.0282067       0.804488       0.600916       -0.44114      0.0024047
   0.0279246       0.824684        0.67944      -0.416891     0.00426974
   0.0276454       0.742076       0.576529      -0.421682     0.00268107
   0.0273689       0.723574       0.630109       -0.42243      0.0025459
   0.0270953       0.763219       0.581652       -0.42952      0.0024879
   0.0268243       0.717046       0.620299      -0.419552     0.00212881
   0.0265561        0.79161        0.57198      -0.430463     0.00263519
   0.0262905       0.819926       0.561725       -0.41444      0.0029164
   0.0260276       0.720739       0.578663      -0.412346     0.00265738
