#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
      2.0135        1.17741     1.18022  0.00313152
     2.03915        1.20094       1.199  0.00259292
      2.0648        1.20657     1.20864  0.00286913
     2.09045        1.21833     1.21562  0.00206315
      2.1161        1.21156     1.20753  0.00183462
     2.14174        1.20281     1.19156  0.00316808
     2.16739        1.16908     1.17063  0.00184334
     2.19304        1.14792     1.14613   0.0011782
     2.21869        1.12445     1.12169  0.00211997
     2.24434        1.09203     1.09235  0.00228974
     2.26999        1.06352      1.0658  0.00338767
     2.29564        1.02467     1.03263   0.0026525
     2.32129        1.01052     1.01118  0.00143314
     2.34694       0.985919    0.986502  0.00235541
     2.37259       0.970267    0.967567  0.00351148
     2.39824       0.941302    0.947612  0.00249557
     2.42389       0.930549    0.929859  0.00142426
     2.44954       0.919757    0.920317  0.00191827
     2.47519       0.902775    0.910058  0.00310496
     2.50084       0.897855    0.899277  0.00280919
     2.52649       0.889028    0.889683  0.00151399
     2.55214       0.883751    0.889381  0.00133193


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0 2.43154e-05 2.21968e-05
    0.884913     0.00165069  0.00142907 0.000180657
    0.910562      0.0221726   0.0246122 0.000739777
    0.936212       0.155669    0.166696  0.00284219
    0.961861       0.555527    0.567895  0.00474637
    0.987511        1.15951     1.19826  0.00785759
     1.01316        1.81156     1.85874   0.0110275
     1.03881        2.31801     2.33223  0.00437033
     1.06446        2.55474     2.55398  0.00644537
     1.09011        2.55871     2.53746  0.00785811
     1.11576        2.42062     2.40954  0.00463074
     1.14141         2.2035     2.19311  0.00442748
     1.16706        1.99119     1.97749  0.00433083
     1.19271        1.79258     1.76521  0.00676571
     1.21836        1.57279     1.55782  0.00425217
     1.24401         1.4102     1.39364  0.00431896
     1.26966        1.26457     1.24371  0.00530298
     1.29531        1.13605      1.1249  0.00463317
     1.32096          1.048     1.02699  0.00607019
     1.34661       0.966557     0.94398  0.00574997
     1.37226       0.888488    0.872592  0.00457036
     1.39791        0.81574    0.818796  0.00172652
     1.42355       0.774242     0.77457  0.00238367
      1.4492       0.730408    0.737028  0.00225794
     1.47485       0.695601    0.707838  0.00294224
      1.5005        0.67164    0.687405   0.0035967
     1.52615       0.667554     0.67804  0.00219328
      1.5518       0.653154    0.669298  0.00343582
     1.57745       0.664439    0.670825   0.0024389
      1.6031       0.665815    0.674531  0.00243087
     1.62875       0.673096    0.687216  0.00336681
      1.6544        0.68487     0.70341  0.00364604
     1.68005       0.711124    0.722663  0.00262672
      1.7057       0.735539    0.751554  0.00295201
     1.73135       0.770615    0.782776  0.00240149
       1.757       0.815011    0.818948 0.000993492
     1.78265        0.84454    0.852939  0.00240123
      1.8083       0.891053    0.894863  0.00145308
     1.83395       0.937203      0.9417  0.00218339
      1.8596       0.977288    0.979645  0.00195366
     1.88525        1.01204     1.01836  0.00404028
      1.9109        1.06357     1.05871  0.00298854
     1.93655        1.09259     1.09263  0.00214143
      1.9622        1.13736     1.13027  0.00309193
     1.98785        1.16639     1.15955  0.00182445
      2.0135        1.19621     1.18289  0.00356739
     2.03915        1.20784     1.20047  0.00254567
      2.0648        1.21257      1.2093  0.00246457
     2.09045         1.2187     1.21613    0.001782
      2.1161        1.21858     1.20938  0.00227206
     2.14174        1.20193     1.19328  0.00307588
     2.16739        1.19277     1.17432  0.00370239
     2.19304        1.16105     1.14862  0.00247287
     2.21869        1.14119     1.12494  0.00345256
     2.24434        1.10837     1.09502  0.00309521
     2.26999        1.07944     1.06807  0.00350378
     2.29564        1.04699     1.03502  0.00310785
     2.32129        1.02302     1.01315  0.00216156
     2.34694        0.98998    0.987082  0.00203294
     2.37259       0.961828    0.966611  0.00305376
     2.39824       0.945129    0.947198  0.00211369
     2.42389       0.922433    0.928621  0.00163864
     2.44954       0.914239    0.919304  0.00184675
     2.47519       0.898526    0.908136  0.00312625
     2.50084       0.881802    0.896364  0.00354243
     2.52649       0.875498    0.887319  0.00249992
     2.55214       0.880653    0.887926  0.00173072


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0 2.08417e-05 1.92957e-05
    0.884913     0.00105461  0.00137558 0.000162576
    0.910562      0.0213931   0.0241523 0.000763769
    0.936212       0.170868    0.167292  0.00249786
    0.961861       0.570236    0.568229  0.00408009
    0.987511        1.21673      1.2009   0.0071642
     1.01316        1.88369     1.86231   0.0100114
     1.03881         2.3584     2.33597  0.00510024
     1.06446        2.56805     2.55599   0.0058296
     1.09011        2.55288     2.53966  0.00703752
     1.11576        2.39841     2.40795  0.00423354
     1.14141        2.18126     2.19142  0.00410618
     1.16706        1.95272     1.97396  0.00495123
     1.19271        1.74997     1.76304  0.00613956
